,minutes,seconds,player_x,player_y
0,0,45,0.0,0.0
1,0,44,0.9749999999999998,0.22499999999999998
2,0,43,1.2149999999999999,1.9850000000000008
3,0,42,1.455,3.9850000000000025
4,0,41,3.919999999999999,4.920000000000003
5,0,40,2.05,5.685000000000002
6,0,39,0.06999999999999902,6.585000000000001
7,0,38,3.759999999999997,6.945
8,0,37,4.994999999999995,3.430000000000007
9,0,36,2.8099999999999947,0.39000000000000423
10,0,35,4.309999999999994,0.9900000000000041
11,0,34,6.909999999999985,1.9900000000000049
12,0,33,6.434999999999986,4.935000000000007
13,0,32,6.909999999999985,6.5500000000000025
